Total Runtime: 42.31 seconds, Timestamp: 2024-09-02 23:53:03, Urban Legend Index: 0, Urban Legend Iteration: 4, Total Iteration: 4, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 54.55 seconds, Timestamp: 2024-09-02 23:53:15, Urban Legend Index: 0, Urban Legend Iteration: 5, Total Iteration: 5, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 65.45 seconds, Timestamp: 2024-09-02 23:53:26, Urban Legend Index: 0, Urban Legend Iteration: 6, Total Iteration: 6, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 75.48 seconds, Timestamp: 2024-09-02 23:53:36, Urban Legend Index: 0, Urban Legend Iteration: 7, Total Iteration: 7, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 85.41 seconds, Timestamp: 2024-09-02 23:53:46, Urban Legend Index: 0, Urban Legend Iteration: 8, Total Iteration: 8, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 95.12 seconds, Timestamp: 2024-09-02 23:53:56, Urban Legend Index: 0, Urban Legend Iteration: 9, Total Iteration: 9, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 104.62 seconds, Timestamp: 2024-09-02 23:54:06, Urban Legend Index: 0, Urban Legend Iteration: 10, Total Iteration: 10, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 114.19 seconds, Timestamp: 2024-09-02 23:54:15, Urban Legend Index: 0, Urban Legend Iteration: 11, Total Iteration: 11, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 123.76 seconds, Timestamp: 2024-09-02 23:54:25, Urban Legend Index: 0, Urban Legend Iteration: 12, Total Iteration: 12, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 132.90 seconds, Timestamp: 2024-09-02 23:54:34, Urban Legend Index: 0, Urban Legend Iteration: 13, Total Iteration: 13, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 142.06 seconds, Timestamp: 2024-09-02 23:54:43, Urban Legend Index: 0, Urban Legend Iteration: 14, Total Iteration: 14, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 151.21 seconds, Timestamp: 2024-09-02 23:54:52, Urban Legend Index: 0, Urban Legend Iteration: 15, Total Iteration: 15, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 160.32 seconds, Timestamp: 2024-09-02 23:55:01, Urban Legend Index: 0, Urban Legend Iteration: 16, Total Iteration: 16, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 169.41 seconds, Timestamp: 2024-09-02 23:55:10, Urban Legend Index: 0, Urban Legend Iteration: 17, Total Iteration: 17, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 178.49 seconds, Timestamp: 2024-09-02 23:55:19, Urban Legend Index: 0, Urban Legend Iteration: 18, Total Iteration: 18, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 187.67 seconds, Timestamp: 2024-09-02 23:55:29, Urban Legend Index: 0, Urban Legend Iteration: 19, Total Iteration: 19, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 196.78 seconds, Timestamp: 2024-09-02 23:55:38, Urban Legend Index: 0, Urban Legend Iteration: 20, Total Iteration: 20, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 205.98 seconds, Timestamp: 2024-09-02 23:55:47, Urban Legend Index: 0, Urban Legend Iteration: 21, Total Iteration: 21, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 215.21 seconds, Timestamp: 2024-09-02 23:55:56, Urban Legend Index: 0, Urban Legend Iteration: 22, Total Iteration: 22, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 224.60 seconds, Timestamp: 2024-09-02 23:56:06, Urban Legend Index: 0, Urban Legend Iteration: 23, Total Iteration: 23, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 233.94 seconds, Timestamp: 2024-09-02 23:56:15, Urban Legend Index: 0, Urban Legend Iteration: 24, Total Iteration: 24, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 243.18 seconds, Timestamp: 2024-09-02 23:56:24, Urban Legend Index: 0, Urban Legend Iteration: 25, Total Iteration: 25, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 252.41 seconds, Timestamp: 2024-09-02 23:56:33, Urban Legend Index: 0, Urban Legend Iteration: 26, Total Iteration: 26, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 261.67 seconds, Timestamp: 2024-09-02 23:56:43, Urban Legend Index: 0, Urban Legend Iteration: 27, Total Iteration: 27, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 270.93 seconds, Timestamp: 2024-09-02 23:56:52, Urban Legend Index: 0, Urban Legend Iteration: 28, Total Iteration: 28, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 280.25 seconds, Timestamp: 2024-09-02 23:57:01, Urban Legend Index: 0, Urban Legend Iteration: 29, Total Iteration: 29, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 289.50 seconds, Timestamp: 2024-09-02 23:57:10, Urban Legend Index: 0, Urban Legend Iteration: 30, Total Iteration: 30, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
Total Runtime: 0.00 seconds, Timestamp: 2024-09-02 23:57:23, Urban Legend Index: 1, Urban Legend Iteration: 1, Total Iteration: 1, GPU Memory Allocated: 14432.45 MB, GPU Memory Reserved: 14578.00 MB
Total Runtime: 14.83 seconds, Timestamp: 2024-09-02 23:57:38, Urban Legend Index: 1, Urban Legend Iteration: 2, Total Iteration: 2, GPU Memory Allocated: 14440.57 MB, GPU Memory Reserved: 14598.00 MB
